THOP1,IGK_2,DEK,FLJ20712,TARP_5,SNHG3_1,GADD45A,SNORA14B,HNRNPA1,DNAJC7
5.81734,7.99159,8.45875,3.20027,7.58881,9.49575,11.4418,4.6501,6.33716,8.51169
6.07163,10.1952,7.55955,3.53794,6.97315,10.1294,12.0826,4.54486,6.97328,9.06592
6.12303,10.1604,8.07314,3.09284,6.71824,9.01935,10.4881,4.60295,6.77607,8.1769
6.13146,10.1874,7.51196,3.59197,6.70517,10.7419,11.7068,4.95325,6.79789,8.56274
6.03611,9.26504,7.70909,3.63192,6.83691,8.90522,10.3343,4.87872,6.91309,8.8098
6.13691,7.94757,7.21854,3.86286,5.7964,10.8614,10.2648,4.92429,6.7888,8.82839
6.2245,9.03351,6.52246,3.63135,3.11272,10.3707,11.7018,4.48463,7.28059,8.58863
5.80543,10.085,7.28782,3.51326,6.8615,9.36028,10.2492,4.59247,5.80785,8.22748
5.79861,8.48364,7.71323,3.11434,7.31633,8.9525,10.6718,5.14966,7.5708,8.15301
6.21917,9.6093,6.58063,3.37276,5.16668,9.29485,9.66868,3.54946,6.28003,8.48008
6.56931,10.3352,7.98662,3.46304,8.05175,10.7077,9.90102,3.92591,7.02955,8.31191
5.94712,10.2287,6.89099,3.31477,6.53215,9.20549,10.6176,4.46384,6.32506,8.20699
6.12106,11.4033,6.95491,3.67023,5.68983,7.88888,10.3875,3.72794,6.15451,7.52202
5.96138,10.3379,9.13859,3.57981,7.6897,8.27492,9.06898,4.06343,5.56336,7.98136
5.96372,12.1481,7.11688,3.50058,5.41708,6.45419,11.0003,3.52182,4.93375,7.47482
6.04776,12.5583,8.74235,3.27126,6.2219,9.03065,9.85615,3.20397,5.31147,7.88004
5.84524,11.1787,7.54689,3.14036,5.90221,7.2587,11.0857,3.34492,5.08283,7.89962
5.73202,9.92165,7.20521,3.22028,5.66398,8.9196,10.0433,3.57878,4.90329,8.12194
6.2165,11.6014,8.38164,3.63855,7.33369,8.85519,10.9249,4.16849,6.36399,8.17633
5.38968,10.0482,7.40092,3.50722,5.05794,9.21203,8.50007,3.63934,5.77516,8.04557
6.03122,10.1692,7.36976,3.47985,5.80854,8.46662,9.77291,4.22847,5.6787,7.91404
6.13301,11.0305,8.68405,3.50468,8.20704,8.44419,8.23898,3.71126,4.61347,7.71551
6.34031,11.2428,7.51378,3.34013,6.86515,7.32382,9.78313,3.60088,3.82886,7.44839
6.04826,10.6519,8.61344,3.49161,7.60389,6.78226,10.6421,3.83646,5.96802,7.99266
5.68854,11.0711,9.9907,3.01272,7.21534,7.90623,8.0428,4.22997,6.41628,8.10597
5.78386,11.8251,8.52355,3.55308,7.16846,7.65062,9.99084,3.52115,5.30506,8.07443
6.02431,11.627,8.30049,3.39865,7.75636,8.45404,9.7672,3.99095,5.77761,8.13295
5.97744,11.1502,8.12899,3.15194,7.5618,10.3053,10.2482,4.37912,5.36497,7.87348
6.28402,11.1365,7.62282,3.44496,6.71137,8.41614,11.2234,3.44361,6.03489,7.95696
6.00869,11.2507,8.37189,3.49242,6.60686,8.95099,9.98435,3.739,5.3674,7.71891
5.7877,10.8401,7.74992,3.89399,7.01447,8.28668,10.3468,4.06612,5.96333,8.11306
5.72118,11.3355,7.2525,3.32956,5.48561,8.3075,10.9043,3.76932,5.88283,8.16836
5.98644,12.5625,7.71886,3.13897,5.13066,9.84822,6.90922,4.81881,4.51554,8.20796
6.08944,12.5527,8.28537,3.31551,5.83095,11.4998,7.0517,4.80226,4.64727,7.43551
6.04995,12.5062,7.34832,3.29566,6.28048,10.8952,7.35942,4.64365,5.00582,8.22807
5.75517,12.66,7.90985,3.35969,5.12339,9.52336,7.44794,3.94333,5.04019,8.12068
5.66734,12.514,7.32078,3.13184,4.16273,10.0451,7.36741,5.11345,5.13338,8.63883
